DOI,Link
10.1016/j.foodchem.2015.08.093,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941370124&partnerID=40&md5=b0db279534b3a78f5b23b1547677f395"
10.1016/j.jphotochem.2015.09.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942893564&partnerID=40&md5=91d9352079a814f27dba84342014544f"
10.1016/j.scitotenv.2015.08.091,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941063645&partnerID=40&md5=764c82dc458b42a2a9fa3477a2064168"
10.1016/j.scitotenv.2015.08.143,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941121888&partnerID=40&md5=38432973370bed9a39ed316656ec7de7"
10.1016/j.scitotenv.2015.08.123,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941313438&partnerID=40&md5=1d22f36416e8e9da6a500f0f7787fe48"
10.1016/j.rser.2015.09.048,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943805275&partnerID=40&md5=e1de8703804fb1e7ec466c1e4bd3a1a3"
10.1016/j.jhazmat.2015.08.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941585398&partnerID=40&md5=e566b769c19a43b1ecbcb71bb60fddd6"
10.1016/j.watres.2015.09.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942604668&partnerID=40&md5=d4fbde4b631fb7923fddfb887476a480"
10.1016/j.catcom.2015.09.032,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943261799&partnerID=40&md5=118201a25a5f915b495298323a88060b"
10.1016/j.catcom.2015.09.024,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942852158&partnerID=40&md5=6d05e2ba6f078b53132a7c1a8b2e67e8"
10.1016/j.scitotenv.2015.07.044,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939600524&partnerID=40&md5=7d195cc2f581c227b451e8633d2b3ab3"
10.1016/j.jhazmat.2015.06.054,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933512208&partnerID=40&md5=099bf31073b7e2b922f3ee020c684b86"
10.1016/j.radphyschem.2015.08.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942249038&partnerID=40&md5=17bc1f529df8e2839c04cc603cd76e2b"
10.1016/j.envint.2015.09.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942063480&partnerID=40&md5=f0329b759eb45d4a02bdb343687a5b1d"
10.1016/j.scitotenv.2015.02.032,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929651131&partnerID=40&md5=00bfbe9c52672a015b7b9db6f04e59ac"
10.1016/j.scitotenv.2015.03.043,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939470318&partnerID=40&md5=7d41b93297d8574ca59de4979e76d976"
10.1016/j.envpol.2015.09.044,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942925114&partnerID=40&md5=a6711a1e87ce7dc89f91d438cfed9dfd"
10.1016/j.jhazmat.2015.07.026,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938569009&partnerID=40&md5=a24b6425b3006ddf7e13e409ff567504"
10.1016/j.scitotenv.2014.12.075,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939243909&partnerID=40&md5=910c1ac6b792076666dccb5bc964cf8e"
10.1016/j.cej.2015.06.102,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936773494&partnerID=40&md5=e0165757508777f22f5b09f83a0b6dbb"
10.1016/j.cej.2015.06.043,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934966970&partnerID=40&md5=759ee5ffec2f6e17b4351e049ac21e04"
10.1016/j.envint.2015.08.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939791133&partnerID=40&md5=833cecdd8fc82b07ac6bd59ec69c9e13"
10.1016/j.scitotenv.2015.02.042,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939467680&partnerID=40&md5=61d7b727f372642f2f6a925e42aaf263"
10.1016/j.envint.2015.09.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941887442&partnerID=40&md5=b65370a2b68ebb8c35964a8e26fae7c3"
10.1016/j.lfs.2015.09.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943245832&partnerID=40&md5=59bc692e20041edf6a39128135125b3a"
10.1016/j.jhazmat.2015.05.043,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931264313&partnerID=40&md5=69756328ee2a835f2d5ab708bfcdcc86"
10.1016/j.scitotenv.2015.06.070,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936887247&partnerID=40&md5=c735e390a014df5b3c77644663f6864f"
10.1016/j.reprotox.2015.05.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939653375&partnerID=40&md5=032de868bbf3cc80a2ca01123bbbaa9b"
10.1016/j.ntt.2015.09.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942601573&partnerID=40&md5=36c66165d39a60bd9f1b275ecc053702"
10.1134/S0036024415110084,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944077656&partnerID=40&md5=45c4edebdf4d902b0d9389ceaa768731"
10.1016/j.watres.2015.07.016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937781596&partnerID=40&md5=de4e229139d7bc165da93502ba07fc5f"
10.1016/j.reprotox.2015.04.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939562208&partnerID=40&md5=50835762b4e1daef3a409d03e5845370"
10.1016/j.jcis.2015.07.029,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937148713&partnerID=40&md5=9c09a822b89480731c7c3a6fa271e798"
10.1016/j.envint.2015.06.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939203752&partnerID=40&md5=a1d2766ab625a9addc59d8f22071995f"
10.1016/j.aquatox.2015.09.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943785983&partnerID=40&md5=f916240d86eb2fba0711d6cbff2d1b32"
10.1016/j.envpol.2015.07.025,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939832178&partnerID=40&md5=98465ac9f13c6deb2a07dd907f5b7c89"
10.1016/j.ntt.2015.10.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944718074&partnerID=40&md5=4342dfa2e333e747cdb096d3fd32c1fd"
